Label	Weight	Text
l_Child Welfare LUIS	14.81579	what are my appointments for today?
l_Child Welfare LUIS	14.81579	find child provider
l_Child Welfare LUIS	14.81579	find providers
l_Child Welfare LUIS	14.81579	get upcoming court dates
l_Child Welfare LUIS	14.81579	i need someone to watch kids
l_Child Welfare LUIS	14.81579	are there upcoming court dates for jane
l_Child Welfare LUIS	14.81579	find child care providers in chicago
l_Child Welfare LUIS	14.81579	do i have anything for thursday?
l_Child Welfare LUIS	14.81579	i realize that i have an upcoming court date. is it important that i attend?
l_Child Welfare LUIS	14.81579	how do i find child care
l_Child Welfare LUIS	14.81579	i am looking for child care providers in chicago
l_Child Welfare LUIS	14.81579	do i have any court dates
l_Child Welfare LUIS	14.81579	are there approved child care providers near me?
l_Child Welfare LUIS	14.81579	i need to find places to donate clothes
l_Child Welfare LUIS	14.81579	do i have any upcoming appointments?
l_Child Welfare LUIS	14.81579	see ya later
l_Child Welfare LUIS	14.81579	do i have upcoming court date
l_Child Welfare LUIS	14.81579	i'm looking for wic locations in 20876
l_Child Welfare LUIS	14.81579	i need a list of wic locations
l_Child Welfare LUIS	14.81579	get child care providers
l_Child Welfare LUIS	14.81579	what are my appointment for today
l_Child Welfare LUIS	14.81579	i need wic locations
l_Child Welfare LUIS	14.81579	what's going on tomorrow?
l_Child Welfare LUIS	14.81579	can you find my court dates
l_Child Welfare LUIS	14.81579	what do i have for tomorrow?
l_Child Welfare LUIS	14.81579	where are wic offices
l_Child Welfare LUIS	14.81579	i have any upcoming court date
l_Child Welfare LUIS	14.81579	what does my calendar look like for today?
l_Child Welfare LUIS	14.81579	get upcoming court dates for jane
l_Child Welfare LUIS	14.81579	find places to swap or donate clothes
l_Child Welfare LUIS	14.81579	can you get my upcoming court dates?
l_Child Welfare LUIS	14.81579	bye
l_Child Welfare LUIS	14.81579	do i have any upcoming court dates
l_Child Welfare LUIS	14.81579	what do i have planned for tuesday
l_Child Welfare LUIS	14.81579	get child providers in chicago
l_Child Welfare LUIS	14.81579	find a child care provider
l_Child Welfare LUIS	14.81579	i cant remember my court date. can you give me my court date
l_Child Welfare LUIS	14.81579	see ya
None	24.47826	how do i become a foster parent?
None	24.47826	should i count foster care in my income taxes
None	24.47826	i have an upcoming court hearing and i was wondering is it important that i attend?
None	24.47826	hiya
None	24.47826	are wic services free
None	24.47826	thank you
None	24.47826	i have a court hearing coming up and i was wondering is it important that i attend?
None	24.47826	where are dmv locations near me
None	24.47826	do i need to count the foster care income i receive?
None	24.47826	is it important to attend court hearings?
None	24.47826	i need to find a dmv
None	24.47826	thanks
None	24.47826	gobbbledy gook
None	24.47826	3. do i get to choose the foster child for my home?
None	24.47826	thanks so much
None	24.47826	what do i need to do to prepare myself for home visit?
None	24.47826	how do i become a licensed foster care provider?
None	24.47826	i have a court hearing coming up and was wondering was it important for me to attend?
None	24.47826	hey
None	24.47826	hello
None	24.47826	hola
None	48.95652	should i attend my upcoming court date
q_Foster Care QnA	1	That's true
q_Foster Care QnA	1	Who's your dad?
q_Foster Care QnA	1	You're so smart
q_Foster Care QnA	1	Sing something
q_Foster Care QnA	1	Where is the Arkansas child welfare office?
q_Foster Care QnA	1	How was your day?
q_Foster Care QnA	1	Are you human?
q_Foster Care QnA	1	Can you make me a sandwich?
q_Foster Care QnA	1	Do I get to choose the foster child for my home?
q_Foster Care QnA	1	Be more fun
q_Foster Care QnA	1	You're a fuckup
q_Foster Care QnA	1	What if a child needs constant care or supervision?
q_Foster Care QnA	1	Nighty night
q_Foster Care QnA	1	What color do you like?
